date | value
2009-12-25| 1
2005-12-25 | 1
2005-1-25 | 1
2010-04-32 | 1
2023-08-01 | 1
2009-01-01 | 1

2011-04-01 | toto
2011-04-01 | -2
2011-04-01 | -2.3
2011-04-01 | 1111111111111111111111111111111111111111111
2011-04-01 | 111111111111111111111111111111111111111111111111111111111111111111111111111.3

2011-01-20 | 1
2011-01-20 | 10
2011-01-20 | 1.2
2023-06-10 | 1

2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2011-01-09 | 1
2012-01-11 | -1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648
